序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1708,苗栗縣,2018/12/10,頭份,-,0.28,-,22.1,-,8,11.64,1.99,9.66,1.958,0.078,1.88,2.65,2.14,20.5,-,-,80.24,-
1709,苗栗縣,2018/12/10,三義,1.6,0.24,-,19.7,10,9,10.96,0.85,10.07,-,-,-,-,1.46,17.6,0,0,97.68,0
1710,苗栗縣,2018/12/09,苗栗,2.2,0.26,-,24.7,8,7,8.9,1.02,7.85,-,-,-,3.65,3.27,19.59,-,-,78.14,-
1711,苗栗縣,2018/12/09,頭份,1.5,0.2,-,29.5,6,5,7.03,1.1,5.92,1.904,0.042,1.863,3.48,2.9,19.38,-,-,70.85,-
1712,苗栗縣,2018/12/09,三義,2.3,0.22,-,28.5,6,6,5.25,0.61,4.59,-,-,-,1.22,1.25,16.68,0,0,90.41,0
1713,苗栗縣,2018/12/08,苗栗,2.5,0.27,-,26.1,11,5,9.4,1.63,7.76,-,-,-,4.55,3.93,19.86,-,-,73.32,-
1714,苗栗縣,2018/12/08,頭份,2,0.21,-,30.4,8,4,7.62,1.78,5.84,1.914,0.051,1.863,3.96,3.29,19.62,-,-,67.49,-
1715,苗栗縣,2018/12/08,三義,1.1,0.21,-,31.2,8,6,6.41,0.77,5.63,-,-,-,1.69,1.79,17.06,0,0,84.79,0
1716,苗栗縣,2018/12/07,苗栗,2.1,0.32,-,25.6,17,8,12.4,1.79,10.6,-,-,-,4.47,3.98,20.57,-,-,75.4,-
1717,苗栗縣,2018/12/07,頭份,1.7,0.26,-,30.3,13,8,11.83,2.08,9.76,1.945,0.072,1.874,4.13,3.33,20.05,-,-,70.27,-
1718,苗栗縣,2018/12/07,三義,2.4,0.23,-,31.9,11,8,7.77,0.83,7,-,-,-,3.14,3.07,17.97,0,0,85,0
1719,苗栗縣,2018/12/06,苗栗,4.2,0.48,-,14.9,46,18,27.68,10.03,17.65,-,-,-,1.84,1.57,23.7,-,-,81.14,-
1720,苗栗縣,2018/12/06,頭份,2.9,0.44,-,19.9,46,18,23.89,8.1,15.79,2.16,0.153,2.007,1.97,1.61,23.26,-,-,75.32,-
1721,苗栗縣,2018/12/06,三義,2.7,0.31,-,22.4,37,18,13.83,1.7,12.15,-,-,-,3.11,2.94,21.81,0,0,84.92,0
1722,苗栗縣,2018/12/05,苗栗,2.9,0.52,-,20.7,36,18,17.85,2.57,15.28,-,-,-,2.69,2.34,23.28,-,-,77.4,-
1723,苗栗縣,2018/12/05,頭份,2.4,0.44,-,26.3,36,17,16.56,1.97,14.59,2.106,0.14,1.965,2.45,2.14,23.26,-,-,70.16,-
1724,苗栗縣,2018/12/05,三義,1.9,0.33,-,27.7,26,18,10.25,1.89,8.37,-,-,-,3.49,3.48,20.54,0,0,87.07,0
1725,苗栗縣,2018/12/04,苗栗,2.3,0.36,-,14.1,28,15,18.56,3.75,14.8,-,-,-,1.34,0.98,24.13,-,-,68.62,-
1726,苗栗縣,2018/12/04,頭份,2.7,0.31,-,17.8,27,15,17.39,3.69,13.7,2.018,0.108,1.91,1.88,1.65,24.3,-,-,62.76,-
1727,苗栗縣,2018/12/04,三義,2,0.18,-,21.3,20,15,11.7,1.65,10.03,-,-,-,2.48,2.3,20.84,0,0,80,0
1728,苗栗縣,2018/12/03,苗栗,2.9,0.45,-,21.8,60,37,20.54,3.75,16.79,-,-,-,1.23,0.82,22.37,-,-,77.99,-
1729,苗栗縣,2018/12/03,頭份,3.5,0.41,-,27,59,37,19.21,2.64,16.57,2.105,0.113,1.992,1.58,1.29,22.05,-,-,73.21,-
1730,苗栗縣,2018/12/03,三義,2.3,0.24,-,40.2,33,24,8.43,0.61,7.79,-,-,-,1.48,1.41,19.96,0,0,75.87,0
1731,苗栗縣,2018/12/02,苗栗,3.6,0.4,-,31.8,51,31,13.26,0.94,12.33,-,-,-,1.07,0.63,22.45,-,-,75.3,-
1732,苗栗縣,2018/12/02,頭份,3.6,0.33,-,39.2,57,36,13.66,2,11.66,2.067,0.089,1.977,1.63,1.39,21.95,-,-,71.15,-
1733,苗栗縣,2018/12/02,三義,2.9,0.29,-,34.6,40,28,11.1,1.06,10.03,-,-,-,1.44,1.03,20.04,0,0,78.78,0
1734,苗栗縣,2018/12/01,苗栗,4.1,0.5,-,38.8,92,50,18.25,2.34,15.91,-,-,-,1.42,1,22.81,-,-,78.75,-
1735,苗栗縣,2018/12/01,頭份,4.2,0.44,-,40.5,89,50,17.57,1.74,15.83,2.122,0.13,1.992,1.58,1.31,22.63,-,-,71.73,-
1736,苗栗縣,2018/12/01,三義,3.2,0.35,-,49.4,73,49,10.21,0.9,9.31,-,-,-,4.26,4.26,19.88,0,0,85.73,0
1737,彰化縣,2018/12/31,彰化,1.8,0.38,-,25.4,15,5,13.27,1.1,12.18,2.02,0.113,1.907,3.45,3.18,18.58,-,-,71.85,-
1738,彰化縣,2018/12/31,線西,2.5,0.26,-,33.6,19,9,7.75,0.42,7.35,1.895,0.023,1.872,7.08,6.88,17.76,-,-,81.51,-
1739,彰化縣,2018/12/31,二林,2.6,0.27,-,27.7,37,9,7.42,0.53,6.92,-,-,-,5.7,5.36,18,-,-,81.36,-
1740,彰化縣,2018/12/30,彰化,2.4,0.34,-,31.2,17,8,11.88,1.32,10.56,2.007,0.088,1.918,2.2,1.92,18.8,-,-,62.69,-
1741,彰化縣,2018/12/30,線西,3.2,0.34,-,33.4,21,7,10.88,0.76,10.09,1.947,0.043,1.904,5.05,4.85,17.74,-,-,70.92,-
1742,彰化縣,2018/12/30,二林,4.1,0.32,-,30.6,42,13,9.14,1.19,7.95,-,-,-,3.39,3.17,17.95,-,-,71.88,-
1743,彰化縣,2018/12/29,彰化,1.3,0.37,-,31.4,19,8,10.93,1.41,9.51,1.956,0.081,1.875,4.06,3.74,17.2,-,-,59.89,-
1744,彰化縣,2018/12/29,線西,2.3,0.35,-,34.6,30,11,8.7,0.97,7.74,1.941,0.048,1.893,8.34,7.92,15.6,-,-,69.31,-
1745,彰化縣,2018/12/29,二林,3,0.31,-,30.4,54,15,10.25,1.77,8.48,-,-,-,6.01,5.73,15.89,-,-,71.14,-
1746,彰化縣,2018/12/28,彰化,0.6,0.38,-,31.4,14,4,10.61,0.86,9.77,1.987,0.085,1.903,4.04,4.03,18.95,-,-,61.15,-
1747,彰化縣,2018/12/28,線西,2.4,0.41,-,33.7,32,10,11.56,1.12,10.48,1.954,0.049,1.905,8.77,8.27,17.19,-,-,71.15,-
1748,彰化縣,2018/12/28,二林,2.2,0.31,-,30.5,50,11,9.45,1.22,8.21,-,-,-,6.42,6.03,17.7,-,-,71.87,-
1749,彰化縣,2018/12/27,彰化,0.3,0.33,-,29.3,16,7,12.37,1.18,11.18,1.976,0.09,1.886,5.05,4.55,20.83,-,-,67.82,-
1750,彰化縣,2018/12/27,線西,2.2,0.29,-,35.1,22,7,9.42,1.49,7.93,1.918,0.04,1.878,8.34,7.99,19.51,-,-,76.69,-
1751,彰化縣,2018/12/27,二林,2.3,0.25,-,30.5,42,12,8.22,1.08,7.11,-,-,-,6.79,6.45,19.87,-,-,76.94,-
1752,彰化縣,2018/12/26,彰化,1.5,0.35,-,21.5,17,11,17.63,2.58,15.04,2,0.111,1.89,3.35,2.99,22.25,-,-,77.8,-
1753,彰化縣,2018/12/26,線西,3.6,0.38,-,26.2,19,12,14.65,1.73,12.9,1.91,0.043,1.867,5.59,5.26,20.85,-,-,86.3,-
1754,彰化縣,2018/12/26,二林,2.5,0.29,-,22.6,41,15,12.47,1.98,10.49,-,-,-,4.52,4.28,21.23,-,-,87.18,-
1755,彰化縣,2018/12/25,彰化,2.9,0.39,-,21.2,27,11,20.44,2.57,17.86,2.07,0.137,1.933,2.85,2.6,22,-,-,75.13,-
1756,彰化縣,2018/12/25,線西,3.7,0.45,-,27.5,33,16,16.13,2.26,13.87,1.937,0.045,1.893,5.03,4.76,20.78,-,-,86.51,-
1757,彰化縣,2018/12/25,二林,3.6,0.34,-,23.7,54,14,13.99,2.19,11.8,-,-,-,3.95,3.61,21.03,-,-,86.06,-
1758,彰化縣,2018/12/24,彰化,1.1,0.44,-,26.6,14,6,18.47,1.77,16.7,2.042,0.136,1.906,3.51,3.14,20.23,-,-,71.95,-
1759,彰化縣,2018/12/24,線西,3.1,0.38,-,34.4,19,7,13.56,1.48,12.07,1.934,0.052,1.882,7.12,6.92,18.92,-,-,79.8,-
1760,彰化縣,2018/12/24,二林,3.2,0.33,-,28.9,40,11,10.69,1.3,9.37,-,-,-,5.18,4.99,19.07,-,-,82.48,-
1761,彰化縣,2018/12/23,彰化,1.4,0.46,-,23.8,49,27,15.53,2.06,13.47,2.055,0.12,1.934,2.99,2.79,22.05,-,-,81.18,-
1762,彰化縣,2018/12/23,線西,2.8,0.43,-,31.9,42,18,10.89,1.8,9.08,1.936,0.04,1.897,6.31,5.81,20.83,-,-,89.2,-
1763,彰化縣,2018/12/23,二林,3.5,0.35,-,24.4,71,22,11.18,1.55,9.64,-,-,-,4.38,4.1,21.2,-,-,90.83,-
1764,彰化縣,2018/12/22,彰化,4.4,0.5,-,25.4,78,40,20.44,0.89,19.53,2.14,0.204,1.935,2.32,2.02,22.81,-,-,78.6,-
1765,彰化縣,2018/12/22,線西,3.1,0.32,-,36.5,73,34,10.87,0.86,9.98,1.912,0.042,1.87,3.43,3.31,21.5,-,-,88.94,-
1766,彰化縣,2018/12/22,二林,4.4,0.35,-,27.1,109,38,14.89,1.54,13.35,-,-,-,2.87,2.62,21.84,-,-,88.31,-
1767,彰化縣,2018/12/21,彰化,2.5,0.57,-,28.5,56,29,21.61,1.84,19.78,2.263,0.262,2.001,2.12,1.87,21.97,-,-,70.55,-
1768,彰化縣,2018/12/21,線西,4.1,0.43,-,31.7,67,35,21.97,2.82,19.15,2.129,0.168,1.961,2.98,2.81,20.95,-,-,82.79,-
1769,彰化縣,2018/12/21,二林,4.7,0.44,-,25.4,96,38,20.8,5.44,15.36,-,-,-,2.45,2.21,20.47,-,-,84.39,-
1770,彰化縣,2018/12/20,彰化,2.4,0.63,-,36.2,51,33,21.16,1.05,20.08,2.371,0.3,2.07,1.14,0.88,21.95,-,-,60.51,-
1771,彰化縣,2018/12/20,線西,3.4,0.44,-,41.4,70,42,20.84,2.41,18.43,2.219,0.23,1.989,2.01,1.82,21.08,-,-,66.98,-
1772,彰化縣,2018/12/20,二林,3.8,0.48,-,31.4,117,46,27.59,9.26,18.34,-,-,-,1.3,1.11,19.96,-,-,74.5,-
1773,彰化縣,2018/12/19,彰化,4.5,0.66,-,36.5,80,47,22.27,1.22,21.05,2.357,0.28,2.077,1.41,1.14,19.96,-,-,69.85,-
1774,彰化縣,2018/12/19,線西,3.7,0.59,-,38,89,50,27.23,4.69,22.53,2.296,0.253,2.043,2,1.86,19.03,-,-,79.1,-
1775,彰化縣,2018/12/19,二林,3.1,0.43,-,30,116,41,18.86,2.33,16.53,-,-,-,1.83,1.72,18.47,-,-,82.21,-
1776,彰化縣,2018/12/18,彰化,4.5,0.58,-,31.7,51,23,27.13,3.32,23.81,2.241,0.238,2.003,1.82,1.56,19.86,-,-,48.74,-
1777,彰化縣,2018/12/18,線西,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1778,彰化縣,2018/12/18,二林,3.4,0.31,-,39.4,73,21,13.61,1.04,12.57,-,-,-,2.29,2.15,18.43,-,-,58.58,-
1779,彰化縣,2018/12/17,彰化,2.5,0.51,-,35.8,38,15,15.02,0.77,14.24,2.072,0.126,1.945,3.74,3.49,19.84,-,-,50.53,-
1780,彰化縣,2018/12/17,線西,3.6,0.48,-,40.9,60,21,13.61,0.87,12.76,2.02,0.09,1.93,7.47,7.12,18.4,-,-,54.79,-
1781,彰化縣,2018/12/17,二林,3.7,0.45,-,36.6,80,20,13.76,1.94,11.81,-,-,-,5.32,5.1,18.62,-,-,59.01,-
1782,彰化縣,2018/12/16,彰化,1.7,0.44,-,25.3,33,15,18.02,1.75,16.25,2.064,0.128,1.936,2.58,2.37,22.53,-,-,69.51,-
1783,彰化縣,2018/12/16,線西,4.4,0.34,-,29.4,37,16,13,0.83,12.2,1.927,0.051,1.876,3.83,3.57,21.33,-,-,78.44,-
1784,彰化縣,2018/12/16,二林,4.9,0.33,-,25.6,56,17,12.18,1.08,11.11,-,-,-,3.18,2.91,21.55,-,-,79.08,-
1785,彰化縣,2018/12/15,彰化,3.5,0.52,-,25.8,32,16,21.21,2.31,18.9,2.098,0.156,1.942,1.92,1.73,21.83,-,-,70.75,-
1786,彰化縣,2018/12/15,線西,3.9,0.35,-,32,32,12,14.64,1.27,13.37,1.933,0.055,1.878,3.78,3.65,20.94,-,-,77.87,-
1787,彰化縣,2018/12/15,二林,3.3,0.3,-,29.3,46,13,12.55,1.54,11.01,-,-,-,2.87,2.71,20.92,-,-,79.63,-
1788,彰化縣,2018/12/14,彰化,1.5,0.46,-,21.8,27,12,21.88,2.95,18.93,2.086,0.164,1.922,2.66,2.4,20.95,-,-,69.94,-
1789,彰化縣,2018/12/14,線西,4.5,0.44,-,29,32,11,17.27,2.11,15.16,1.948,0.061,1.887,5.32,5.14,19.86,-,-,78.48,-
1790,彰化縣,2018/12/14,二林,5.2,0.37,-,23.3,51,15,17.88,2.57,15.31,-,-,-,3.76,3.51,20.07,-,-,79.49,-
1791,彰化縣,2018/12/13,彰化,2.4,0.52,-,25,29,14,16.76,1.2,15.6,2.075,0.14,1.935,3.02,2.74,20.18,-,-,67.17,-
1792,彰化縣,2018/12/13,線西,3.2,0.44,-,29.4,31,16,14.01,2.02,11.99,2.005,0.084,1.921,5.81,5.47,18.83,-,-,75.58,-
1793,彰化縣,2018/12/13,二林,3.4,0.43,-,26.4,51,17,13.03,1.5,11.53,-,-,-,4.28,4.13,19.13,-,-,76.25,-
1794,彰化縣,2018/12/12,彰化,1.7,0.45,-,21.7,22,8,16.77,1.76,15,2.039,0.133,1.906,3.81,3.54,18.74,-,-,66.28,-
1795,彰化縣,2018/12/12,線西,1.9,0.42,-,26.1,30,14,13.19,1.36,11.81,1.987,0.078,1.909,8.26,7.86,17.48,-,-,74.81,-
1796,彰化縣,2018/12/12,二林,2.9,0.37,-,23.7,45,12,11.06,1.03,10.01,-,-,-,6.18,5.56,17.68,-,-,77.38,-
1797,彰化縣,2018/12/11,彰化,1.8,0.43,-,13.7,26,14,21.15,3.52,17.63,2.09,0.16,1.93,3.14,2.74,21.98,-,-,75.66,-
1798,彰化縣,2018/12/11,線西,1.7,0.29,-,22.7,24,11,13.33,1.38,11.94,1.94,0.062,1.878,5.85,5.51,21.25,-,-,84.1,-
1799,彰化縣,2018/12/11,二林,3.1,0.27,-,18.9,44,16,12.7,1.34,11.33,-,-,-,4.35,4,21.31,-,-,85.6,-
1800,彰化縣,2018/12/10,彰化,3.2,0.41,-,16,18,6,18.29,2.37,15.9,2.056,0.154,1.902,2.82,2.66,21.3,-,-,77.2,-
1801,彰化縣,2018/12/10,線西,1.6,0.29,-,26,18,7,10.78,1.2,9.52,1.91,0.048,1.862,5.85,5.76,21.15,-,-,85.73,-
1802,彰化縣,2018/12/10,二林,2.6,0.27,-,21.6,33,11,11.51,1.79,9.72,-,-,-,4.65,4.46,21.01,-,-,86.36,-
1803,彰化縣,2018/12/09,彰化,1.1,0.32,-,24.4,15,6,12.46,0.75,11.73,1.957,0.065,1.897,3.28,3.02,20.78,-,-,70.34,-
1804,彰化縣,2018/12/09,線西,2.8,0.3,-,30.7,16,5,8.97,0.79,8.15,1.902,0.026,1.875,7.04,6.83,19.82,-,-,80.19,-
1805,彰化縣,2018/12/09,二林,2.7,0.26,-,25.8,36,8,9.24,1.37,7.87,-,-,-,5.25,5.05,20.1,-,-,80.33,-
1806,彰化縣,2018/12/08,彰化,1,0.34,-,26.3,21,8,13.35,1.12,12.21,2.011,0.073,1.939,3.87,3.63,21.26,-,-,66.7,-
1807,彰化縣,2018/12/08,線西,2,0.32,-,32.2,25,6,9.34,1.09,8.23,1.939,0.072,1.867,8.52,7.92,20.02,-,-,77.3,-
1808,彰化縣,2018/12/08,二林,3.3,0.3,-,27.1,49,11,10.64,1.57,9.07,-,-,-,6.1,5.74,20.31,-,-,77.44,-
1809,彰化縣,2018/12/07,彰化,2.3,0.38,-,26.1,21,8,15.61,1.06,14.53,2.053,0.113,1.94,3.95,3.61,22.8,-,-,66.58,-
1810,彰化縣,2018/12/07,線西,3.6,0.33,-,32,35,9,11.71,1.55,10.15,1.94,0.055,1.885,8,7.46,21.1,-,-,76.78,-
1811,彰化縣,2018/12/07,二林,4.1,0.34,-,26.6,54,14,13.18,2.09,11.09,-,-,-,5.93,5.42,21.57,-,-,77.1,-
1812,彰化縣,2018/12/06,彰化,2.7,0.55,-,20.4,46,19,24.7,3.04,21.66,2.232,0.227,2.005,2.21,1.96,25.5,-,-,71.78,-
1813,彰化縣,2018/12/06,線西,4.7,0.36,-,27.9,54,21,17.88,2.41,15.47,2.022,0.1,1.923,3.54,3.26,24.24,-,-,82.65,-
1814,彰化縣,2018/12/06,二林,4.3,0.41,-,22.9,72,20,17.67,2.73,14.94,-,-,-,2.59,2.4,24.49,-,-,82.16,-
1815,彰化縣,2018/12/05,彰化,2.5,0.56,-,21.3,45,24,22.4,1.58,20.81,1.848,0.183,1.665,2.69,2.43,24.78,-,-,70.95,-
1816,彰化縣,2018/12/05,線西,5.3,0.52,-,27.2,60,25,18.5,1.74,16.75,2.059,0.108,1.95,4.77,4.66,23.84,-,-,78.84,-
1817,彰化縣,2018/12/05,二林,4.5,0.49,-,23.4,75,23,17.36,1.59,15.77,-,-,-,3.59,3.39,23.92,-,-,79.92,-
1818,彰化縣,2018/12/04,彰化,4.3,0.52,-,17.3,27,18,24.21,4.57,19.64,2.214,0.251,1.963,1.73,1.39,25.28,-,-,62.59,-
1819,彰化縣,2018/12/04,線西,3.3,0.41,-,15.7,48,25,27.06,6.59,20.47,2.182,0.223,1.959,2.44,2.22,24.58,-,-,69.95,-
1820,彰化縣,2018/12/04,二林,1.7,0.42,-,14,67,28,29.46,15.22,14.23,-,-,-,1.9,1.69,23.79,-,-,75.51,-
1821,彰化縣,2018/12/03,彰化,3.9,0.67,-,22.5,50,33,26.21,3.54,22.67,2.283,0.25,2.033,1.53,1.22,23.71,-,-,66.88,-
1822,彰化縣,2018/12/03,線西,3.9,0.44,-,25.6,77,45,24.42,4.79,19.64,2.173,0.178,1.996,1.85,1.71,22.65,-,-,80.34,-
1823,彰化縣,2018/12/03,二林,3.8,0.37,-,20.9,87,37,16.7,4.38,12.32,-,-,-,1.39,1.23,21.64,-,-,78.39,-
1824,彰化縣,2018/12/02,彰化,3.3,0.43,-,35.4,55,33,13.71,1,12.71,2.142,0.143,1.999,1.32,0.92,23.11,-,-,72.31,-
1825,彰化縣,2018/12/02,線西,2.9,0.34,-,37.4,65,38,10.71,1,9.67,2.024,0.08,1.944,1.85,1.67,22.6,-,-,79.85,-
1826,彰化縣,2018/12/02,二林,3.4,0.39,-,27.8,96,42,14.15,4.54,9.61,-,-,-,1.14,1.03,21.54,-,-,87.45,-
1827,彰化縣,2018/12/01,彰化,3.6,0.55,-,38.8,91,53,20.39,1.51,18.85,2.338,0.235,2.103,1.64,1.46,23.11,-,-,75.09,-
1828,彰化縣,2018/12/01,線西,2.8,0.4,-,48.1,102,55,14.36,1.29,13.07,2.27,0.147,2.123,2.4,2.32,22.39,-,-,84.62,-
1829,彰化縣,2018/12/01,二林,-,0.34,-,37.2,104,37,12.12,1.69,10.43,-,-,-,1.98,1.74,22.04,-,-,88.21,-
1830,南投縣,2018/12/31,南投,1.7,0.36,-,16.6,21,8,18.73,3.28,15.45,2.102,0.242,1.86,1.5,1.23,18.23,0,0,75.48,0
1831,南投縣,2018/12/31,埔里,2.2,0.52,-,17.9,50,23,20.69,2.76,17.92,-,-,-,0.93,0.59,17.23,-,-,75.49,-
1832,南投縣,2018/12/31,竹山,1.7,0.33,-,20.7,29,13,16.57,2.66,13.89,-,-,-,1.75,1.4,17.71,-,-,79.48,-
1833,南投縣,2018/12/30,南投,2,0.44,-,19.8,35,17,17.97,2.18,15.79,2.163,0.263,1.9,1.18,0.92,17.54,0,0,68.96,0
1834,南投縣,2018/12/30,埔里,2.4,0.5,-,25.5,51,21,16.63,1.15,15.48,-,-,-,1.06,0.74,15.91,-,-,72.5,-
1835,南投縣,2018/12/30,竹山,2.1,0.41,-,22,49,27,16.06,1.35,14.69,-,-,-,1.3,0.89,16.89,-,-,73.7,-
1836,南投縣,2018/12/29,南投,1.8,0.4,-,25.8,26,9,16.14,2.41,13.73,2.097,0.233,1.865,1.75,1.34,16.78,0,0,65.11,0
1837,南投縣,2018/12/29,埔里,1.8,0.46,-,28.5,40,15,17.86,1.67,16.18,-,-,-,1.63,1.42,16.7,-,-,70.08,-
1838,南投縣,2018/12/29,竹山,2,0.34,-,31.2,35,16,12.5,1.57,10.93,-,-,-,1.88,1.56,16.31,-,-,69.38,-
1839,南投縣,2018/12/28,南投,1.7,0.43,-,24.6,24,5,18.44,3.01,15.44,2.021,0.21,1.811,1.99,1.6,18.81,0,0,64.34,0
1840,南投縣,2018/12/28,埔里,2,0.41,-,27.9,35,13,17.27,2.31,14.95,-,-,-,1.54,1.36,19.22,-,-,70.13,-
1841,南投縣,2018/12/28,竹山,2.3,0.31,-,30.7,28,11,14.01,2.09,11.92,-,-,-,1.9,1.55,18.3,-,-,70.11,-
1842,南投縣,2018/12/27,南投,1.5,0.4,-,21.4,24,8,17.48,1.83,15.63,1.984,0.206,1.778,2.35,1.83,20.56,0,0,71.1,0
1843,南投縣,2018/12/27,埔里,1.2,0.35,-,20.4,36,18,16.29,2.18,14.11,-,-,-,1.5,1.28,20.09,-,-,77.21,-
1844,南投縣,2018/12/27,竹山,1.7,0.32,-,26.7,32,12,15.7,2.9,12.8,-,-,-,1.97,1.7,20.01,-,-,77.41,-
1845,南投縣,2018/12/26,南投,2,0.41,-,15.3,29,14,22.92,4.21,18.71,1.978,0.208,1.77,1.6,1.22,22.46,0,0,77.85,0
1846,南投縣,2018/12/26,埔里,2,0.51,-,22,52,24,23.39,4.64,18.75,-,-,-,1.18,0.91,22.13,-,-,78.83,-
1847,南投縣,2018/12/26,竹山,1.5,0.28,-,20.2,41,22,18.46,2.71,15.75,-,-,-,1.77,1.52,21.83,-,-,85.3,-
1848,南投縣,2018/12/25,南投,2.1,0.5,-,15.1,40,19,28.97,7.3,21.68,2.088,0.269,1.819,1.55,1.13,22.29,0,0,74.92,0
1849,南投縣,2018/12/25,埔里,2.2,0.47,-,29.3,47,21,20.05,2.42,17.63,-,-,-,1.21,1.02,22.45,-,-,75.71,-
1850,南投縣,2018/12/25,竹山,2.5,0.46,-,20,54,25,24.15,6.26,17.88,-,-,-,1.58,1.13,21.77,-,-,82.4,-
1851,南投縣,2018/12/24,南投,2.3,0.46,-,20.3,21,9,21.9,3.37,18.53,2.028,0.244,1.783,1.73,1.37,20.62,0,0,72.86,0
1852,南投縣,2018/12/24,埔里,2.1,0.5,-,25.5,49,21,18.2,2.47,15.73,-,-,-,1.29,1.03,21.79,-,-,75.71,-
1853,南投縣,2018/12/24,竹山,2.5,0.37,-,26.3,37,16,18.03,2.23,15.81,-,-,-,1.58,1.39,20.15,-,-,80.05,-
1854,南投縣,2018/12/23,南投,1,0.51,-,16.5,61,32,20.12,2.89,17.23,2.074,0.23,1.844,1.41,1.03,22.64,0,0,78.82,0
1855,南投縣,2018/12/23,埔里,1.3,0.47,-,29.8,54,27,17.02,1.46,15.57,-,-,-,1.31,1.03,22.8,-,-,74.54,-
1856,南投縣,2018/12/23,竹山,2.3,0.49,-,21.6,78,49,19.32,1.88,17.43,-,-,-,1.48,1.14,22.35,-,-,84.15,-
1857,南投縣,2018/12/22,南投,2,0.62,-,22.3,88,43,26.45,4.14,22.31,2.132,0.29,1.842,1.29,1.03,22.64,0,0,76.87,0
1858,南投縣,2018/12/22,埔里,1.7,0.54,-,35.2,62,30,20.7,2.35,18.35,-,-,-,1.24,0.97,21.35,-,-,71.17,-
1859,南投縣,2018/12/22,竹山,3.2,0.53,-,35.9,94,61,18.26,2.58,15.68,-,-,-,1.38,1.13,22.12,-,-,80.8,-
1860,南投縣,2018/12/21,南投,3.4,0.54,-,24.1,64,28,23.43,2.83,20.59,2.109,0.3,1.809,1.34,1.06,20.69,0,0,73.06,0
1861,南投縣,2018/12/21,埔里,1.6,0.53,-,37.4,61,26,23.24,3.07,20.17,-,-,-,1.1,0.83,18.98,-,-,71.02,-
1862,南投縣,2018/12/21,竹山,2.6,0.39,-,36.9,69,38,17.59,2.28,15.31,-,-,-,1.27,0.94,20.35,-,-,76.46,-
1863,南投縣,2018/12/20,南投,1.8,0.45,-,25.9,48,21,20.36,2.22,18.14,2.072,0.242,1.829,1.29,0.96,20.87,0,0,61.78,0
1864,南投縣,2018/12/20,埔里,2.8,0.49,-,23.4,46,19,22.55,4.6,17.95,-,-,-,0.89,0.53,18.32,-,-,62.05,-
1865,南投縣,2018/12/20,竹山,2.9,0.36,-,33.2,47,26,14.63,1.43,13.18,-,-,-,0.99,0.66,20.45,-,-,62.04,-
1866,南投縣,2018/12/19,南投,2.9,0.5,-,25.6,67,31,22.32,3.65,18.67,2.11,0.274,1.835,1.57,1.33,19.44,0,0,68.53,0
1867,南投縣,2018/12/19,埔里,1.8,0.44,-,36.5,62,29,17.4,2.36,15.04,-,-,-,1.18,1,17.39,-,-,71.86,-
1868,南投縣,2018/12/19,竹山,2.1,0.42,-,37.1,62,32,13.84,1.51,12.32,-,-,-,1.17,0.93,18.79,-,-,73.2,-
1869,南投縣,2018/12/18,南投,3.6,0.63,-,25.3,68,30,26.45,3.68,22.77,2.214,0.342,1.873,1.21,0.96,18.6,0,0,66.86,0
1870,南投縣,2018/12/18,埔里,2.4,0.52,-,35.7,58,25,20.72,2.51,18.2,-,-,-,1.23,1.04,17.58,-,-,70.36,-
1871,南投縣,2018/12/18,竹山,2.8,0.48,-,35.4,71,41,18.11,2.17,15.93,-,-,-,1.11,0.88,18.44,-,-,70.93,-
1872,南投縣,2018/12/17,南投,2.2,0.55,-,25.2,45,16,23.45,3.48,19.96,2.123,0.275,1.848,1.73,1.35,19.1,0,0,61.32,0
1873,南投縣,2018/12/17,埔里,2.4,0.43,-,27.2,45,19,18.67,2.31,16.36,-,-,-,1.41,1.15,19.09,-,-,72.28,-
1874,南投縣,2018/12/17,竹山,2.1,0.5,-,28.9,55,29,19.22,1.98,17.23,-,-,-,1.58,1.26,18.78,-,-,68.68,-
1875,南投縣,2018/12/16,南投,1.9,0.5,-,19.2,53,25,23.36,5.39,17.97,2.086,0.258,1.828,1.34,1.08,22.35,0,0,71.7,0
1876,南投縣,2018/12/16,埔里,1.5,0.39,-,30.7,53,27,14.68,1.5,13.19,-,-,-,1.15,0.94,21.26,-,-,72.25,-
1877,南投縣,2018/12/16,竹山,2.1,0.38,-,24,63,40,15.75,2.57,13.18,-,-,-,1.38,1.12,21.87,-,-,77.18,-
